Timestamp;ID;1. The avatars increased my feeling of presence in the Virtual environment. ​;2. The Virtual environment was more natural with avatars in it. ;​3. I felt like I was with other people in the city ;4. The exploration of the virtual town felt similar to exploring a real world city
11.12.21 16:35;8469;4;6;4;4
11/15/2021 15:05:58;7264;7;7;3;5
11/17/2021 13:37:14;3572;4;5;2;5
11/18/2021 12:14:47;365;3;4;2;5
11/30/2021 11:31:21;6642;6;6;3;3
12.03.21 17:28;5741;5;4;2;5
12.10.21 12:32;7842;5;4;3;4
12/15/2021 11:15:55;4176;1;5;1;6
12/22/2021 16:51:34;9472;3;4;1;2
1/18/2022 12:53:38;4623;4;4;5;6
1/19/2022 11:50:48;9502;5;7;3;2
1/20/2022 16:58:15;7093;7;4;1;2
2/28/2022 10:33:57;2258;4;4;5;2
3/16/2022 14:21:14;1754;5;6;3;3
3/21/2022 12:40:58;5238;6;6;2;3
3/23/2022 15:41:22;8695;2;2;1;2
4/20/2022 20:46:02;3976;5;6;2;2
4/21/2022 12:36:34;5531;6;7;2;2
05.04.22 15:06;7412;5;4;4;5
05.06.22 09:58;4796;5;4;2;5
5/13/2022 15:02:41;3246;6;6;3;5
5/18/2022 10:08:57;9601;5;5;7;3
5/30/2022 11:41:07;479;7;7;3;6
06.01.22 14:51;8007;3;4;2;5
06.03.22 09:31;8673;2;6;1;2
6/16/2022 9:54:43;9586;1;1;2;1
6/16/2022 13:39:30;2693;5;6;1;2
6/20/2022 11:20:02;3310;6;6;2;3
07.04.22 11:23;4917;4;4;3;5